"MPG" "Country"
"177" 11 "US"
"178" 10 "US"
"179" 11 "US"
"180" 10 "US"
"181" 10 "US"
"182" 10 "US"
"183" 22 "US"
"184" 23 "US"
"185" 15 "US"
"186" 16 "US"
"187" 14 "US"
"188" 12 "US"
"189" 14 "US"
"190" 12 "US"
"191" 13 "US"
"192" 9 "US"
"193" 10 "US"
"194" 9 "US"
"195" 10 "US"
"196" 9 "US"
"197" 8 "US"
"198" 11 "US"
"199" 11 "US"
"200" 28 "US"
"201" 19 "US"
"202" 15 "US"
"203" 16 "US"
"204" 26 "US"
"205" 27 "US"
"206" 20 "US"
"207" 21 "US"
"208" 19 "US"
"209" 26 "US"
"210" 24 "US"
"211" 20 "US"
"212" 18 "US"
"213" 16 "US"
"214" 11 "US"
"215" 20 "US"
"216" 16 "US"
"217" 19 "US"
"218" 19 "US"
"219" 18 "US"
"220" 16 "US"
"221" 22 "US"
"222" 31 "US"
"223" 27 "US"
"224" 26 "US"
"225" 22 "US"
"226" 14 "US"
"227" 19 "US"
"228" 12 "US"
"229" 10 "US"
"230" 20 "US"
"231" 19 "US"
"232" 26 "US"
"233" 23 "US"
"234" 21 "US"
"235" 19 "US"
"236" 16 "US"
"237" 15 "US"
"238" 30 "US"
"239" 28 "US"
"240" 17 "US"
"241" 30 "US"
"242" 18 "US"
"243" 14 "US"
"244" 28 "US"
"245" 19 "US"
"246" 19 "US"
"247" 24 "US"
"248" 20 "US"
"249" 23 "US"
"250" 16 "Japan"
"251" 19 "Japan"
"252" 19 "Japan"
"253" 17 "Japan"
"254" 23 "Japan"
"255" 27 "Japan"
"256" 16 "Japan"
"257" 11 "Japan"
"258" 20 "Japan"
"259" 15 "Japan"
"260" 19 "Japan"
"261" 12 "Japan"
"262" 14 "Japan"
"263" 10 "Japan"
"264" 12 "Japan"
"265" 23 "Japan"
"266" 24 "Japan"
"267" 23 "Japan"
"268" 24 "Japan"
"269" 16 "Japan"
"270" 18 "Japan"
"271" 21 "Japan"
"272" 16 "Japan"
"273" 16 "Japan"
"274" 25 "Japan"
"275" 25 "Japan"
"276" 24 "Japan"
"277" 20 "Japan"
"278" 11 "Japan"
"279" 24 "Japan"
"280" 26 "Japan"
"281" 18 "Japan"
"282" 22 "Japan"
"283" 14 "Japan"
"284" 14 "Japan"
"285" 25 "Japan"
"286" 31 "Japan"
"287" 28 "Japan"
"288" 20 "Japan"
"289" 19 "Japan"
"290" 13 "Japan"
"291" 16 "Japan"
"292" 22 "Japan"
"293" 26 "Japan"
"294" 24 "Japan"
"295" 30 "Japan"
"296" 29 "Japan"
"297" 22 "Japan"
"298" 23 "Japan"
"299" 29 "Japan"
"300" 24 "Japan"
"301" 34 "Japan"
"302" 32 "Japan"
"303" 33 "Japan"
"304" 26 "Japan"
"305" 25 "Japan"
"306" 16 "Japan"
"307" 24 "Japan"
"308" 31 "Japan"
"309" 27 "Japan"
"310" 24 "Japan"
"311" 29 "Japan"
"312" 30 "Japan"
"313" 26 "Japan"
"314" 26 "Japan"
"315" 24 "Japan"
"316" 25 "Japan"
"317" 24 "Japan"
"318" 17 "Japan"
"319" 16 "Japan"
"320" 29 "Japan"
"321" 23 "Japan"
"322" 28 "Japan"
"323" 28 "Japan"
"324" 26 "Japan"
"325" 30 "Japan"
"326" 24 "Japan"
"327" 30 "Japan"
"328" 24 "Japan"
